NC_001422.1 Enterobacteria phage phiX174 sensu lato, complete genome
gnl|uv|AY753576.1:3446-3455-49 Flexi Vector pF1A T7
gnl|uv|DQ996013.1:211-472 Cloning vector pDRIVE
gnl|uv|DQ996013.1:2087-3053 Cloning vector pDRIVE
gnl|uv|AY753578.1:1-838 Flexi Vector pFN2A (GST)
gnl|uv|AY753578.1:4129-4137-49 Flexi Vector pFN2A (GST)
gnl|uv|DQ666274.1:1-149 Cloning vector pDNR-LIB
gnl|uv|DQ666274.1:249-3225 Cloning vector pDNR-LIB
gnl|uv|DQ666274.1:4010-4161-49 Cloning vector pDNR-LIB
gnl|uv|EU545992.1:1-1076 T7 Flexi Vector pFN18A (HaloTag 7)
gnl|uv|EU545992.1:1334-1432 T7 Flexi Vector pFN18A (HaloTag 7)
gnl|uv|EU545992.1:4369-4377-49 T7 Flexi Vector pFN18A (HaloTag 7)
gnl|uv|EU545996.1:1-119 T7 SP6 Flexi Vector pFC20A (HaloTag 7)
gnl|uv|EU545996.1:414-561 T7 SP6 Flexi Vector pFC20A (HaloTag 7)
gnl|uv|EU545996.1:1330-1455 T7 SP6 Flexi Vector pFC20A (HaloTag 7)
gnl|uv|EU545996.1:1461-1586 T7 SP6 Flexi Vector pFC20A (HaloTag 7)
gnl|uv|EU545996.1:4416-4422-49 T7 SP6 Flexi Vector pFC20A (HaloTag 7)
gnl|uv|DQ666273.1:28-245 Cloning vector pDNR-Dual
gnl|uv|DQ666273.1:1014-1110 Cloning vector pDNR-Dual
gnl|uv|DQ666273.1:2924-3015 Cloning vector pDNR-Dual
gnl|uv|DQ666273.1:4842-4938-1 Cloning vector pDNR-Dual
gnl|uv|FJ160466.1:1-203 BAC cloning vector pEZ BAC
gnl|uv|FJ160466.1:291-809 BAC cloning vector pEZ BAC
gnl|uv|FJ160466.1:1061-1313 BAC cloning vector pEZ BAC
gnl|uv|FJ160466.1:1899-7260-49 BAC cloning vector pEZ BAC
gnl|uv|EU101022.1:1-218 Cloning vector pSMART BAC v2.0
gnl|uv|EU101022.1:865-1079 Cloning vector pSMART BAC v2.0
gnl|uv|EU101022.1:1385-1535 Cloning vector pSMART BAC v2.0
gnl|uv|EU101022.1:1582-1679 Cloning vector pSMART BAC v2.0
gnl|uv|EU101022.1:3981-4079 Cloning vector pSMART BAC v2.0
gnl|uv|EU101022.1:4715-4813 Cloning vector pSMART BAC v2.0
gnl|uv|EU101022.1:6674-7648-49 Cloning vector pSMART BAC v2.0
gnl|uv|AF075573.1:1-121 Cloning vector pWEB
gnl|uv|AF075573.1:2939-3006 Cloning vector pWEB
gnl|uv|AF075573.1:3574-3669 Cloning vector pWEB
gnl|uv|AF075573.1:4457-4550 Cloning vector pWEB
gnl|uv|AF075573.1:4890-5044 Cloning vector pWEB
gnl|uv|AF075573.1:6265-6349 Cloning vector pWEB
gnl|uv|AF075573.1:8145-8179-49 Cloning vector pWEB
gnl|uv|HQ245711.1:57-170 Cloning vector pGNS-BAC
gnl|uv|HQ245711.1:1853-1954 Cloning vector pGNS-BAC
gnl|uv|HQ245711.1:1977-2121 Cloning vector pGNS-BAC
gnl|uv|HQ245711.1:2930-3028 Cloning vector pGNS-BAC
gnl|uv|HQ245711.1:3053-3162 Cloning vector pGNS-BAC
gnl|uv|HQ245711.1:3318-3414 Cloning vector pGNS-BAC
gnl|uv|HQ245711.1:3542-3639 Cloning vector pGNS-BAC
gnl|uv|HQ245711.1:3777-4014 Cloning vector pGNS-BAC
gnl|uv|HQ245711.1:4361-4459 Cloning vector pGNS-BAC
gnl|uv|HQ245711.1:4683-4885 Cloning vector pGNS-BAC
gnl|uv|HQ245711.1:5539-7450 Cloning vector pGNS-BAC
gnl|uv|HQ245711.1:7990-8093 Cloning vector pGNS-BAC
gnl|uv|HQ245711.1:9357-9468 Cloning vector pGNS-BAC
gnl|uv|HQ245711.1:9551-10454 Cloning vector pGNS-BAC
gnl|uv|HQ245711.1:13422-13527 Cloning vector pGNS-BAC
gnl|uv|HQ245711.1:13692-16404 Cloning vector pGNS-BAC
gnl|uv|EU729724.1:1-150 Cloning vector pSMARTGC HK
gnl|uv|EU729724.1:160-287 Cloning vector pSMARTGC HK
gnl|uv|EU729724.1:369-560 Cloning vector pSMARTGC HK
gnl|uv|EU729724.1:583-806 Cloning vector pSMARTGC HK
gnl|uv|EU729724.1:948-1173 Cloning vector pSMARTGC HK
gnl|uv|EU729724.1:1514-1610 Cloning vector pSMARTGC HK
gnl|uv|EU729724.1:1634-1797-49 Cloning vector pSMARTGC HK
gnl|uv|EU729725.2:1-52 Cloning vector pSMARTGC LK
gnl|uv|EU729725.2:974-1076 Cloning vector pSMARTGC LK
gnl|uv|EU729725.2:1169-1266 Cloning vector pSMARTGC LK
gnl|uv|EU729725.2:1941-1999-49 Cloning vector pSMARTGC LK
gnl|uv|AF532108.1:67-168 Cloning vector pEZSeq-Kan
gnl|uv|AF532108.1:239-341 Cloning vector pEZSeq-Kan
gnl|uv|AF532108.1:1960-2008-49 Cloning vector pEZSeq-Kan
gnl|uv|AF532109.1:415-507 Cloning vector pEZSeq-Amp
gnl|uv|AF532109.1:583-681 Cloning vector pEZSeq-Amp
gnl|uv|AF532109.1:742-919 Cloning vector pEZSeq-Amp
gnl|uv|AF532109.1:1058-1367 Cloning vector pEZSeq-Amp
gnl|uv|EU729726.1:1-84 Cloning vector pSMARTGC Blue
gnl|uv|EU729726.1:155-394 Cloning vector pSMARTGC Blue
gnl|uv|EU729726.1:516-633 Cloning vector pSMARTGC Blue
gnl|uv|EU729726.1:1265-1371 Cloning vector pSMARTGC Blue
gnl|uv|EU729726.1:1754-1852 Cloning vector pSMARTGC Blue
gnl|uv|EU729726.1:2069-2162 Cloning vector pSMARTGC Blue
gnl|uv|EU729726.1:2242-2275-49 Cloning vector pSMARTGC Blue
gnl|uv|NGB00026.1:1-55 New England BioLabs cloning vector pGPS2
gnl|uv|NGB00026.1:282-768 New England BioLabs cloning vector pGPS2
gnl|uv|NGB00026.1:1029-1408 New England BioLabs cloning vector pGPS2
gnl|uv|NGB00026.1:2210-2499-49 New England BioLabs cloning vector pGPS2
gnl|uv|NGB00148.1:359-531 New England BioLabs cloning vector pNEB206a
gnl|uv|M77811.1:432-555 BlueScribe cloning vector
gnl|uv|GQ489187.1:1-238 Cloning vector pSpark IV
gnl|uv|GQ489187.1:2778-2811-49 Cloning vector pSpark IV
gnl|uv|NGB00147.1:1-56 New England BioLabs cloning vector LITMUS 38i
gnl|uv|NGB00147.1:284-382 New England BioLabs cloning vector LITMUS 38i
gnl|uv|NGB00147.1:997-1092 New England BioLabs cloning vector LITMUS 38i
gnl|uv|NGB00147.1:1381-1476 New England BioLabs cloning vector LITMUS 38i
gnl|uv|NGB00147.1:1507-1602 New England BioLabs cloning vector LITMUS 38i
gnl|uv|NGB00147.1:2266-2362 New England BioLabs cloning vector LITMUS 38i
gnl|uv|NGB00147.1:2398-2663 New England BioLabs cloning vector LITMUS 38i
gnl|uv|NGB00147.1:2728-2814-49 New England BioLabs cloning vector LITMUS 38i
gnl|uv|NGB00024.1:1275-1702 New England BioLabs cloning vector pGPS1
gnl|uv|NGB00024.1:2421-2631 New England BioLabs cloning vector pGPS1
gnl|uv|NGB00146.1:2420-2635 New England BioLabs cloning vector LITMUS 28i
gnl|uv|L08957.1:2512-2611 pTZ19R cloning vector from PL-Pharmacia
gnl|uv|L08957.1:2800-2870-48 pTZ19R cloning vector from PL-Pharmacia
gnl|uv|EF512631.1:924-1021 Cloning vector pTrueBlue
gnl|uv|EF512631.1:2093-2503 Cloning vector pTrueBlue
gnl|uv|U46017.1:676-780 Cloning vector pPCR-Script Amp SK(+)
gnl|uv|L08784.1:410-508 BlueScribe KS Minus cloning vector
gnl|uv|L08784.1:605-673 BlueScribe KS Minus cloning vector
gnl|uv|L08784.1:743-810 BlueScribe KS Minus cloning vector
gnl|uv|L08784.1:2916-2964-47 BlueScribe KS Minus cloning vector
gnl|uv|L08785.1:1-50 BlueScribe KS Plus cloning vector
gnl|uv|L08785.1:411-506 BlueScribe KS Plus cloning vector
gnl|uv|L08785.1:2919-2964-49 BlueScribe KS Plus cloning vector
gnl|uv|L08786.1:609-673 BlueScribe SK Minus cloning vector
gnl|uv|L08786.1:743-808 BlueScribe SK Minus cloning vector
gnl|uv|EF694056.1:1-945 Cloning vector pJET1.2
gnl|uv|EF694056.1:2926-2974-49 Cloning vector pJET1.2
gnl|uv|GQ489185.1:6-104 Cloning vector pSpark II
gnl|uv|U02284.1:1-198 Cloning vector pSP65 beta-lactamase gene, complete cds
gnl|uv|U02284.1:3059-3073-49 Cloning vector pSP65 beta-lactamase gene, complete cds
gnl|uv|DQ317600.1:97-231 Positive selection cloning vector pJET1
gnl|uv|DQ317600.1:425-517 Positive selection cloning vector pJET1
gnl|uv|DQ317600.1:975-1090 Positive selection cloning vector pJET1
gnl|uv|DQ058733.1:11-150 Broad host range vector pBTB-5
gnl|uv|DQ058733.1:1486-1584 Broad host range vector pBTB-5
gnl|uv|DQ058733.1:1586-2178 Broad host range vector pBTB-5
gnl|uv|DQ058733.1:2419-2517 Broad host range vector pBTB-5
gnl|uv|DQ058733.1:2578-2676 Broad host range vector pBTB-5
gnl|uv|DQ058733.1:2725-2968 Broad host range vector pBTB-5
gnl|uv|DQ058733.1:3098-3161-44 Broad host range vector pBTB-5
gnl|uv|L08782.1:191-284 BlueScribe M13 Minus cloning vector
gnl|uv|L08782.1:649-742 BlueScribe M13 Minus cloning vector
gnl|uv|L08783.1:197-283 BlueScribe M13 Plus cloning vector
gnl|uv|GQ489188.1:1-59 Cloning vector pSpark V
gnl|uv|GQ489188.1:445-602 Cloning vector pSpark V
gnl|uv|GQ489188.1:3321-3369-49 Cloning vector pSpark V
gnl|uv|DQ839632.1:2195-2458 PCR cloning vector pAnti-Kit-Barnase
gnl|uv|DQ839632.1:2549-2647 PCR cloning vector pAnti-Kit-Barnase
gnl|uv|DQ839632.1:2694-2846 PCR cloning vector pAnti-Kit-Barnase
gnl|uv|U39779.1:220-660 Cloning vector pTriplEx
gnl|uv|U39779.1:785-915 Cloning vector pTriplEx
gnl|uv|U39779.1:1030-1148 Cloning vector pTriplEx
gnl|uv|U39779.1:1286-1427 Cloning vector pTriplEx
gnl|uv|DQ058731.1:2243-2344 Broad host range vector pBTB-3
gnl|uv|EU126551.1:510-695 Cloning vector pTriplEx2
gnl|uv|DQ058730.2:2402-2499 Broad host range vector pBTB-2
gnl|uv|DQ058730.2:3593-3691 Broad host range vector pBTB-2
gnl|uv|DQ058729.1:2448-2543 Broad host range vector pBTB-1
gnl|uv|NGB00143.1:742-834 New England BioLabs cloning vector pGPS4
gnl|uv|NGB00143.1:1426-1525 New England BioLabs cloning vector pGPS4
gnl|uv|NGB00143.1:2130-2222 New England BioLabs cloning vector pGPS4
gnl|uv|NGB00143.1:2448-2551 New England BioLabs cloning vector pGPS4
gnl|uv|NGB00143.1:2667-2794 New England BioLabs cloning vector pGPS4
gnl|uv|NGB00143.1:3812-3899-43 New England BioLabs cloning vector pGPS4
gnl|uv|GQ489186.1:347-454 Cloning vector pSpark III
gnl|uv|GQ489186.1:483-581 Cloning vector pSpark III
gnl|uv|GQ489186.1:1077-1175 Cloning vector pSpark III
gnl|uv|GQ489186.1:1312-1415 Cloning vector pSpark III
gnl|uv|NGB00144.1:2667-2794 New England BioLabs cloning vector pGPS5
gnl|uv|NGB00028.1:322-419 New England BioLabs cloning vector pGPS3
gnl|uv|NGB00028.1:2102-2197 New England BioLabs cloning vector pGPS3
gnl|uv|NGB00028.1:2745-2852 New England BioLabs cloning vector pGPS3
gnl|uv|NGB00028.1:2991-3089 New England BioLabs cloning vector pGPS3
gnl|uv|AF067646.1:554-668 Cloning vector pCMV-scriptEX
gnl|uv|AF067646.1:710-856 Cloning vector pCMV-scriptEX
gnl|uv|AF067646.1:1152-1272 Cloning vector pCMV-scriptEX
gnl|uv|AF067646.1:2642-2740 Cloning vector pCMV-scriptEX
gnl|uv|AF067646.1:2852-2950 Cloning vector pCMV-scriptEX
gnl|uv|NGB00046.1:23-173 Life Technologies cloning vector pCMVSPORT3
gnl|uv|NGB00046.1:396-566 Life Technologies cloning vector pCMVSPORT3
gnl|uv|NGB00046.1:585-1063 Life Technologies cloning vector pCMVSPORT3
gnl|uv|NGB00046.1:1474-1603 Life Technologies cloning vector pCMVSPORT3
gnl|uv|NGB00046.1:1680-1794 Life Technologies cloning vector pCMVSPORT3
gnl|uv|NGB00046.1:2597-2732 Life Technologies cloning vector pCMVSPORT3
gnl|uv|NGB00046.1:3647-3896 Life Technologies cloning vector pCMVSPORT3
gnl|uv|NGB00046.1:3899-3978 Life Technologies cloning vector pCMVSPORT3
gnl|uv|NGB00047.1:596-696 Life Technologies cloning vector pCMVSPORT4
gnl|uv|NGB00047.1:815-919 Life Technologies cloning vector pCMVSPORT4
gnl|uv|NGB00048.1:663-920 Life Technologies cloning vector pCMVSPORT6
gnl|uv|NGB00044.1:1476-1667 Life Technologies cloning vector pCMVSPORT1
gnl|uv|NGB00045.1:721-847 Life Technologies cloning vector pCMVSPORT2.2
gnl|uv|NGB00027.1:671-726 New England BioLabs cloning vector pGPS2.1
gnl|uv|NGB00027.1:1091-1188 New England BioLabs cloning vector pGPS2.1
gnl|uv|NGB00027.1:2728-2825 New England BioLabs cloning vector pGPS2.1
gnl|uv|NGB00027.1:3266-3373 New England BioLabs cloning vector pGPS2.1
gnl|uv|NGB00025.1:3266-3373 New England BioLabs cloning vector pGPS1.1
gnl|uv|EU140755.1:1669-2352 Cloning vector pWEB::TNC
gnl|uv|EU140755.1:2369-2467 Cloning vector pWEB::TNC
gnl|uv|EU140755.1:3162-3506 Cloning vector pWEB::TNC
gnl|uv|U89961.1:1-4240 Cloning vector pJG4-5 (pB42AD)
gnl|uv|U89961.1:6386-6449-49 Cloning vector pJG4-5 (pB42AD)
gnl|uv|AY643800.3:106-390 Large-insert cloning vector pSMART VC
gnl|uv|AY643800.3:773-896 Large-insert cloning vector pSMART VC
gnl|uv|L08874.1:7324-7372-48 PhageScript SK cloning vector
gnl|uv|EU140754.1:1-64 Cloning vector pIndigoBAC-5
gnl|uv|EU140754.1:115-170 Cloning vector pIndigoBAC-5
gnl|uv|EU140754.1:354-425 Cloning vector pIndigoBAC-5
gnl|uv|EU140754.1:2337-2429 Cloning vector pIndigoBAC-5
gnl|uv|EU140754.1:7465-7506-49 Cloning vector pIndigoBAC-5
gnl|uv|EU140753.1:310-412 Cloning vector pEPIFOS-5
gnl|uv|NGB00034.1:1-163 Life Technologies Deletion Factory vector pDELTA1
gnl|uv|NGB00034.1:223-321 Life Technologies Deletion Factory vector pDELTA1
gnl|uv|NGB00034.1:496-594 Life Technologies Deletion Factory vector pDELTA1
gnl|uv|NGB00034.1:1354-1455 Life Technologies Deletion Factory vector pDELTA1
gnl|uv|NGB00034.1:2015-2210 Life Technologies Deletion Factory vector pDELTA1
gnl|uv|NGB00034.1:2348-2444 Life Technologies Deletion Factory vector pDELTA1
gnl|uv|NGB00034.1:2588-2686 Life Technologies Deletion Factory vector pDELTA1
gnl|uv|NGB00034.1:2977-3078 Life Technologies Deletion Factory vector pDELTA1
gnl|uv|NGB00034.1:3154-3276 Life Technologies Deletion Factory vector pDELTA1
gnl|uv|NGB00034.1:3449-3559 Life Technologies Deletion Factory vector pDELTA1
gnl|uv|NGB00034.1:4293-4481 Life Technologies Deletion Factory vector pDELTA1
gnl|uv|NGB00034.1:4566-4664 Life Technologies Deletion Factory vector pDELTA1
gnl|uv|NGB00034.1:4916-5043 Life Technologies Deletion Factory vector pDELTA1
gnl|uv|NGB00034.1:5159-6048 Life Technologies Deletion Factory vector pDELTA1
gnl|uv|NGB00034.1:7957-7991-49 Life Technologies Deletion Factory vector pDELTA1
gnl|uv|U29899.1:1847-4463 Cloning vector pACT2 MatchmakerII
gnl|uv|U29899.1:4697-5948 Cloning vector pACT2 MatchmakerII
gnl|uv|U29899.1:8070-8117-49 Cloning vector pACT2 MatchmakerII
gnl|uv|EU140750.1:64-162 Cloning vector pCC1BAC
gnl|uv|EU140750.1:2338-2433 Cloning vector pCC1BAC
gnl|uv|EU140750.1:5600-5698 Cloning vector pCC1BAC
gnl|uv|EU140752.1:315-452 Cloning vector pCC2FOS
gnl|uv|NGB00145.1:1943-2070 New England BioLabs cloning vector pFOS1
gnl|uv|NGB00145.1:2440-2592 New England BioLabs cloning vector pFOS1
gnl|uv|NGB00145.1:4213-4330 New England BioLabs cloning vector pFOS1
gnl|uv|NGB00145.1:9317-9412 New England BioLabs cloning vector pFOS1
gnl|uv|U89960.1:3-1162 Cloning vector pEG202 (pLexA)
gnl|uv|U89960.1:1471-2257 Cloning vector pEG202 (pLexA)
gnl|uv|U89960.1:2491-2588 Cloning vector pEG202 (pLexA)
gnl|uv|U89960.1:2842-2938 Cloning vector pEG202 (pLexA)
gnl|uv|U89960.1:4738-7717 Cloning vector pEG202 (pLexA)
gnl|uv|U89960.1:7789-7969 Cloning vector pEG202 (pLexA)
gnl|uv|NGB00405.1:1-198 pSMART-cDNA-SS4 cloning vector
gnl|uv|NGB00405.1:304-402 pSMART-cDNA-SS4 cloning vector
gnl|uv|NGB00405.1:1092-1185 pSMART-cDNA-SS4 cloning vector
gnl|uv|NGB00405.1:1820-1824-49 pSMART-cDNA-SS4 cloning vector
gnl|uv|AF087567.1:1-217 Cloning vector pKO Scrambler 920
gnl|uv|AF087567.1:1920-1968-49 Cloning vector pKO Scrambler 920
gnl|uv|AF086840.1:1-175 Cloning vector pKO Scrambler 901
gnl|uv|AF086840.1:1957-1969-49 Cloning vector pKO Scrambler 901
gnl|uv|AF086841.1:12-152 Cloning vector pKO Scrambler 902
gnl|uv|AF086842.1:2-161 Cloning vector pKO Scrambler 903
gnl|uv|AF086843.1:11-151 Cloning vector pKO Scrambler 904
gnl|uv|AF086844.1:1-162 Cloning vector pKO Scrambler 905
gnl|uv|AF086844.1:1969-1969-49 Cloning vector pKO Scrambler 905
gnl|uv|AF086845.1:13-149 Cloning vector pKO Scrambler 906
gnl|uv|AF086846.1:1-163 Cloning vector pKO Scrambler 907
gnl|uv|AF086847.1:14-150 Cloning vector pKO Scrambler 908
gnl|uv|AF086848.1:1-173 Cloning vector pKO Scrambler 909
gnl|uv|AF086848.1:1958-1969-49 Cloning vector pKO Scrambler 909
gnl|uv|AF086849.1:12-152 Cloning vector pKO Scrambler 910
gnl|uv|AF086850.1:1-164 Cloning vector pKO Scrambler 911
gnl|uv|AF086850.1:1969-1969-49 Cloning vector pKO Scrambler 911
gnl|uv|AF086851.1:1-163 Cloning vector pKO Scrambler 912
gnl|uv|AF086852.1:1-172 Cloning vector pKO Scrambler 913
gnl|uv|AF086852.1:1959-1969-49 Cloning vector pKO Scrambler 913
gnl|uv|AF086853.1:11-151 Cloning vector pKO Scrambler 914
gnl|uv|AF087562.1:1-163 Cloning vector pKO Scrambler 915
gnl|uv|AF087562.1:1968-1969-49 Cloning vector pKO Scrambler 915
gnl|uv|AF087563.1:1-162 Cloning vector pKO Scrambler 916
gnl|uv|AF087563.1:1969-1969-49 Cloning vector pKO Scrambler 916
gnl|uv|AF087564.1:1-163 Cloning vector pKO Scrambler 917
gnl|uv|AF087564.1:1969-1969-49 Cloning vector pKO Scrambler 917
gnl|uv|AF087565.1:13-149 Cloning vector pKO Scrambler 918
gnl|uv|AF087566.1:1-160 Cloning vector pKO Scrambler 919
gnl|uv|AF087664.1:1-174 Cloning vector pKO Scrambler 921
gnl|uv|AF087664.1:1958-1969-49 Cloning vector pKO Scrambler 921
gnl|uv|AF087665.1:14-150 Cloning vector pKO Scrambler 922
gnl|uv|AF087666.1:1-164 Cloning vector pKO Scrambler 923
gnl|uv|AF087667.1:2-161 Cloning vector pKO Scrambler 924
gnl|uv|NGB00591.1:1-123 Cloning vector pKF18k-2
gnl|uv|NGB00591.1:182-279 Cloning vector pKF18k-2
gnl|uv|NGB00591.1:522-724 Cloning vector pKF18k-2
gnl|uv|NGB00591.1:768-866 Cloning vector pKF18k-2
gnl|uv|NGB00591.1:951-1140 Cloning vector pKF18k-2
gnl|uv|NGB00591.1:1186-1451 Cloning vector pKF18k-2
gnl|uv|NGB00591.1:2046-2143 Cloning vector pKF18k-2
gnl|uv|NGB00591.1:2151-2204-49 Cloning vector pKF18k-2
gnl|uv|NGB00592.1:2173-2204-48 Cloning vector pKF19k-2
gnl|uv|NGB00609.1:86-241 Cloning vector pMK-U
gnl|uv|NGB00609.1:268-607 Cloning vector pMK-U
gnl|uv|NGB00609.1:1329-2217 Cloning vector pMK-U
gnl|uv|NGB00608.1:317-536 Cloning vector pMK
gnl|uv|NGB00607.1:298-397 Cloning vector pMA
gnl|uv|NGB00607.1:456-555 Cloning vector pMA
gnl|uv|NGB00607.1:1563-1661 Cloning vector pMA
gnl|uv|NGB00589.1:1615-1795 Cloning vector pHSG299
gnl|uv|NGB00589.1:1797-1898 Cloning vector pHSG299
gnl|uv|NGB00589.1:2617-2673-41 Cloning vector pHSG299
gnl|uv|NGB00578.1:1-52 pMD18-T Vector
gnl|uv|NGB00578.1:2642-2694-49 pMD18-T Vector
gnl|uv|NGB00579.1:1-83 pMD18-T Simple Vector
gnl|uv|NGB00579.1:2620-2694-49 pMD18-T Simple Vector
gnl|uv|NGB00580.1:1-53 pMD19-T Vector
gnl|uv|NGB00580.1:2643-2694-49 pMD19-T Vector
gnl|uv|NGB00581.1:1-68 pMD19-T Simple Vector
gnl|uv|NGB00581.1:2107-2205 pMD19-T Simple Vector
gnl|uv|NGB00581.1:2615-2694-49 pMD19-T Simple Vector
gnl|uv|NGB00019.1:370-508 New England BioLabs cloning vector pNEB193
gnl|uv|NGB00582.1:1-53 pMD20-T Vector
gnl|uv|NGB00582.1:141-292 pMD20-T Vector
gnl|uv|NGB00582.1:2634-2738-49 pMD20-T Vector
gnl|uv|NGB00022.1:2415-2514 New England BioLabs cloning vector pLITMUS38
gnl|uv|NGB00022.1:2547-2646 New England BioLabs cloning vector pLITMUS38
gnl|uv|NGB00023.1:2420-2630 New England BioLabs cloning vector pLITMUS39
gnl|uv|NGB00021.1:2421-2633 New England BioLabs cloning vector pLITMUS29
gnl|uv|NGB00020.1:2420-2514 New England BioLabs cloning vector pLITMUS28
gnl|uv|NGB00020.1:2556-2635 New England BioLabs cloning vector pLITMUS28
gnl|uv|NGB00404.1:953-1048 pLEXX-AK cloning vector
gnl|uv|NGB00404.1:1741-1950 pLEXX-AK cloning vector
gnl|uv|NGB00404.1:2704-2843-49 pLEXX-AK cloning vector
gnl|uv|NGB00406.1:1-144 Cloning Vector pT7Blue
gnl|uv|NGB00406.1:262-328 Cloning Vector pT7Blue
gnl|uv|U46019.1:612-745 Cloning vector pCRSCRIPT Direct
gnl|uv|NGB00399.1:354-503 pCDC-1K Cloning Vector
gnl|uv|NGB00399.1:1531-1635 pCDC-1K Cloning Vector
gnl|uv|NGB00399.1:2658-2791 pCDC-1K Cloning Vector
gnl|uv|X52324.1:761-841 pBluescript SK(-) vector DNA, phagemid excised from lambda ZAP
gnl|uv|X52326.1:743-808 pBluescript KS(-) vector DNA, phagemid excised from lambda ZAP
gnl|uv|U02449.1:1-69 Cloning vector pDIRECT
gnl|uv|U02449.1:2906-2967-49 Cloning vector pDIRECT
gnl|uv|NGB00585.1:591-1576 Cloning vector pSTV28
gnl|uv|NGB00585.1:1920-2017 Cloning vector pSTV28
gnl|uv|NGB00031.1:18-109 Invitrogen cloning vector pcDNAII
gnl|uv|NGB00031.1:488-586 Invitrogen cloning vector pcDNAII
gnl|uv|NGB00031.1:1385-1483 Invitrogen cloning vector pcDNAII
gnl|uv|NGB00031.1:1519-1715 Invitrogen cloning vector pcDNAII
gnl|uv|NGB00031.1:1911-2014 Invitrogen cloning vector pcDNAII
gnl|uv|NGB00031.1:2329-2424 Invitrogen cloning vector pcDNAII
gnl|uv|NGB00031.1:2445-2543 Invitrogen cloning vector pcDNAII
gnl|uv|NGB00407.1:3-377 Cloning Vector pT7Blue-2
gnl|uv|U46018.1:1864-1964 Cloning vector pCRSCRIPT Cam
gnl|uv|U46018.1:2045-2143 Cloning vector pCRSCRIPT Cam
gnl|uv|U46018.1:2294-2392 Cloning vector pCRSCRIPT Cam
gnl|uv|U46018.1:2582-2675 Cloning vector pCRSCRIPT Cam
gnl|uv|U46018.1:2998-3109 Cloning vector pCRSCRIPT Cam
gnl|uv|U46018.1:3258-3355 Cloning vector pCRSCRIPT Cam
gnl|uv|NGB00410.1:1-474 Cloning Vector pETBlue-1
gnl|uv|NGB00410.1:777-956 Cloning Vector pETBlue-1
gnl|uv|NGB00410.1:1327-1434 Cloning Vector pETBlue-1
gnl|uv|NGB00410.1:2318-2414 Cloning Vector pETBlue-1
gnl|uv|NGB00410.1:3158-3253 Cloning Vector pETBlue-1
gnl|uv|NGB00410.1:3374-3476-49 Cloning Vector pETBlue-1
gnl|uv|NGB00400.1:29-159 pPDM-1 Cloning Vector
gnl|uv|NGB00400.1:165-261 pPDM-1 Cloning Vector
gnl|uv|NGB00400.1:275-383 pPDM-1 Cloning Vector
gnl|uv|NGB00400.1:1422-1554 pPDM-1 Cloning Vector
gnl|uv|NGB00400.1:3448-3495-49 pPDM-1 Cloning Vector
gnl|uv|NGB00401.1:31-126 pPDM-2 Cloning Vector
gnl|uv|NGB00401.1:1458-1518 pPDM-2 Cloning Vector
gnl|uv|NGB00401.1:3448-3495-49 pPDM-2 Cloning Vector
gnl|uv|NGB00411.1:227-519 Cloning Vector pETBlue-2
gnl|uv|NGB00030.1:1-50 Invitrogen cloning vector pcDNAI
gnl|uv|NGB00030.1:537-649 Invitrogen cloning vector pcDNAI
gnl|uv|NGB00030.1:773-870 Invitrogen cloning vector pcDNAI
gnl|uv|NGB00030.1:1033-1606 Invitrogen cloning vector pcDNAI
gnl|uv|NGB00030.1:1698-1796 Invitrogen cloning vector pcDNAI
gnl|uv|NGB00030.1:2078-2243 Invitrogen cloning vector pcDNAI
gnl|uv|NGB00030.1:2253-2378 Invitrogen cloning vector pcDNAI
gnl|uv|NGB00030.1:2716-2807 Invitrogen cloning vector pcDNAI
gnl|uv|NGB00030.1:2980-3913 Invitrogen cloning vector pcDNAI
gnl|uv|NGB00030.1:3980-4033-49 Invitrogen cloning vector pcDNAI
gnl|uv|NGB00583.1:1008-1104 Cloning vector pTWV228
gnl|uv|NGB00583.1:3798-3896 Cloning vector pTWV228
gnl|uv|NGB00412.1:1-1359 Cloning vector pSCREEN-1b(+)
gnl|uv|NGB00412.1:2452-2606 Cloning vector pSCREEN-1b(+)
gnl|uv|NGB00412.1:2779-2850 Cloning vector pSCREEN-1b(+)
gnl|uv|NGB00412.1:3842-3940 Cloning vector pSCREEN-1b(+)
gnl|uv|NGB00412.1:4084-4131-49 Cloning vector pSCREEN-1b(+)
gnl|uv|AF028239.1:1736-1834 Mammalian expression vector pCMV-Script
gnl|uv|NGB00033.1:114-341 Life Technologies cloning vector pZL1 from Lambda ZipLox
gnl|uv|NGB00033.1:641-739 Life Technologies cloning vector pZL1 from Lambda ZipLox
gnl|uv|NGB00033.1:1144-1242 Life Technologies cloning vector pZL1 from Lambda ZipLox
gnl|uv|NGB00033.1:1576-1697 Life Technologies cloning vector pZL1 from Lambda ZipLox
gnl|uv|NGB00029.1:270-368 Invitrogen cloning vector pCDM8
gnl|uv|NGB00029.1:434-543 Invitrogen cloning vector pCDM8
gnl|uv|NGB00029.1:2153-2699 Invitrogen cloning vector pCDM8
gnl|uv|NGB00029.1:2738-2866 Invitrogen cloning vector pCDM8
gnl|uv|NGB00029.1:2930-3028 Invitrogen cloning vector pCDM8
gnl|uv|NGB00029.1:3245-3400 Invitrogen cloning vector pCDM8
